fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1.0,-0.26027333869593816,0.6838054949034026,0.1383196201981956,0.09422892793865713,-0.16116475612582656,-0.11264005014795793,0.6734855939394103,-0.6873705119625841,0.18225159052226328,-0.0555006923231005,0.12607681773603968
-0.26027333869593816,1.0,-0.5539510499164448,0.04677515388618296,0.07044902947773347,-0.004455059392605455,0.09692077792563235,0.02286459514698141,0.23285582132151617,-0.26990730001010554,-0.2025625732132967,-0.3932860663838822
0.6838054949034026,-0.5539510499164448,1.0,0.13839736957774404,0.175220352236902,-0.07848833584407383,0.011498342465288773,0.37426070577359416,-0.5360327014871832,0.3026720618108804,0.11357007114794171,0.23340959279716644
0.1383196201981956,0.04677515388618296,0.13839736957774404,1.0,0.022330463510483928,0.1039934730484252,0.14440082867152923,0.34413848055251706,-0.06259248649925998,0.010474629163409384,0.10502927566233522,0.01711505054614789
0.09422892793865713,0.07044902947773347,0.175220352236902,0.022330463510483928,1.0,-0.02160687066744336,0.05011640558201341,0.18953153141970658,-0.2492374223915931,0.32278451423060844,-0.2184501771266312,-0.11870046580152008
-0.16116475612582656,-0.004455059392605455,-0.07848833584407383,0.1039934730484252,-0.02160687066744336,1.0,0.671679540978833,-0.050617994521445914,0.08652933842326962,0.049093400713941665,-0.06235543367434659,-0.05846786232510147
-0.11264005014795793,0.09692077792563235,0.011498342465288773,0.14440082867152923,0.05011640558201341,0.671679540978833,1.0,0.08237586015527376,-0.048476050250840036,0.05268085819902745,-0.22843599038662404,-0.20863842367950472
0.6734855939394103,0.02286459514698141,0.37426070577359416,0.34413848055251706,0.18953153141970658,-0.050617994521445914,0.08237586015527376,1.0,-0.3423913292394487,0.14078262628734045,-0.48769291149276656,-0.1744545383876691
-0.6873705119625841,0.23285582132151617,-0.5360327014871832,-0.06259248649925998,-0.2492374223915931,0.08652933842326962,-0.048476050250840036,-0.3423913292394487,1.0,-0.18077208551080914,0.2051593650372998,-0.06112382755777534
0.18225159052226328,-0.26990730001010554,0.3026720618108804,0.010474629163409384,0.32278451423060844,0.049093400713941665,0.05268085819902745,0.14078262628734045,-0.18077208551080914,1.0,0.10823799159976703,0.27359510268566745
-0.0555006923231005,-0.2025625732132967,0.11357007114794171,0.10502927566233522,-0.2184501771266312,-0.06235543367434659,-0.22843599038662404,-0.48769291149276656,0.2051593650372998,0.10823799159976703,1.0,0.4776299145656086
0.12607681773603968,-0.3932860663838822,0.23340959279716644,0.01711505054614789,-0.11870046580152008,-0.05846786232510147,-0.20863842367950472,-0.1744545383876691,-0.06112382755777534,0.27359510268566745,0.4776299145656086,1.0
